"","ffid","pod_num","rms_signal.p","rms_noise.p","snr.p","name","Stage","X_Coord_Evt","Y_Coord_Evt","TVD_SS_Evt","Dist.From.Mid.Perf.Depth.From.Wellbore","X","Y","Z","DistToGeophone","DistX","DistY","DistZ","DistPlanar","IncidenceAngle","dom_freq"
"1",38977,41,0.001896,0.000357,5.315139,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764444.74791641,567717.459845816,2116.77603091968,3140.49676992175,308.872916414635,2286.10265418398,2130.97445736157,2306.87403729842,42.7301994974942,144.370224
"2",38977,42,0.001449,0.000349,4.149558,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764444.80288498,567717.924540023,2165.9836920268,3106.98090051903,308.927884977544,2285.63795997656,2081.76679625445,2306.42089008111,42.0692904177177,124.154129
"3",38977,43,0.001859,0.000337,5.520363,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764444.88552924,567718.432920784,2215.19081348384,3073.85808595648,309.010529240826,2285.12957921554,2032.55967479741,2305.92816475004,41.3945545213012,88.598083
"4",38977,44,0.001542,0.000402,3.834576,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.06300879,567719.091077424,2264.40608548465,3041.06263096485,309.188008792233,2284.47142257576,1983.3444027966,2305.29974305864,40.7067677614472,162.893585
"5",38977,45,0.001853,0.000359,5.157316,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.23778712,567719.741897544,2313.6114578231,3008.72658568322,309.362787119811,2283.82060245564,1934.13903045815,2304.6782591623,40.004148126722,245.563553
"6",38977,46,0.003202,0.000344,9.309365,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.40149734,567720.362805294,2362.8172428625,2976.87434033509,309.526497335639,2283.19969470648,1884.93324541875,2304.08495903702,39.2860227808248,58.838318
"7",38977,47,0.002026,0.000395,5.13477,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.55265678,567720.966974392,2412.02325596768,2945.51134034408,309.677656782791,2282.5955256084,1835.72723231357,2303.50658445726,38.5522972332918,97.950012
"8",38977,48,0.00328,0.000379,8.650423,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.638891,567721.484636119,2461.240448607,2914.69572457265,309.763891001465,2282.07786388125,1786.51003967425,2303.0052203556,37.8018029581819,109.672668
"9",38977,49,0.001931,0.000357,5.407414,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.71553623,567721.99557477,2510.44771820352,2884.40110024794,309.840536228847,2281.5669252295,1737.30277007773,2302.50923824244,37.035497655411,192.46312
"10",38977,50,0.003217,0.000399,8.070834,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.72815729,567722.462245859,2559.65549875638,2854.66145841841,309.853157285601,2281.10025414068,1688.09498952487,2302.04851133084,36.2526413384296,197.895905
"11",38977,51,0.002742,0.000333,8.24197,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.73882206,567722.919829957,2608.86335615156,2825.4729884582,309.863822064595,2280.64267004328,1638.88713212969,2301.5965277708,35.4533505960455,160.671555
"12",38977,52,0.002081,0.000401,5.193346,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.73146892,567723.29380299,2658.08192093799,2796.90588255951,309.856468922459,2280.26869701,1589.66856734326,2301.22496985775,34.6364191096349,272.943848
"13",38977,53,0.003233,0.000385,8.391334,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.72713345,567723.661284775,2707.29052778758,2768.93026016805,309.85213345103,2279.90121522534,1540.45996049367,2300.86025125172,33.8028934799231,169.807022
"14",38977,54,0.001984,0.000385,5.152375,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.76545136,567723.93804479,2756.49972535139,2741.63246744915,309.890451357933,2279.62445520959,1491.25076292986,2300.5911737274,32.9514397518678,202.22168
"15",38977,55,0.002049,0.000384,5.331135,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764445.81166615,567724.211103952,2805.70891020846,2714.95624947839,309.936666151742,2279.35139604798,1442.04157807279,2300.32682975509,32.0830035094319,195.576141
"16",38977,56,0.001962,0.000407,4.82541,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764446.08273722,567724.378844735,2854.92773310269,2689.026255358,310.207737224177,2279.18365526514,1392.82275517856,2300.19715995423,31.1958781059751,168.227371
"17",38977,57,0.002295,0.000313,7.325919,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764446.35398726,567724.546064314,2904.13655521522,2663.75890740668,310.478987260954,2279.01643568638,1343.61393306603,2300.06806761436,30.2918783791797,197.886353
"18",38977,58,0.002322,0.000305,7.607471,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764446.74017319,567724.474057137,2953.34487598503,2639.38765160389,310.865173188504,2279.08844286343,1294.40561229622,2300.19157599866,29.3681189599304,264.616577
"19",38977,59,0.00239,0.000328,7.279472,"ImagedPerforations",2,1764135.875,570003.5625,4247.75048828125,-18.7629444518689,1764447.12635912,567724.40204996,3002.55319675485,2615.7152101108,311.251359116053,2279.16045004048,1245.1972915264,2300.31514484001,28.4273903885288,81.174812
